Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,Measure Name,Mineral Metabolism Measure Score,Mineral Metabolism Reason for No Score (See Footnotes File),State Average Mineral Metabolism Measure Score,National Average Mineral Metabolism Measure Score
SOUTH NASSAU OUTPATIENT DIALYSIS CENTER,333535,-,3618 OCEANSIDE ROAD,OCEANSIDE,NY,11572,2,MINERAL METABOLISM,10,-,9,9
DR RAVINDER N AGARWAL,333536,330211,124 FORD AVENUE AGARWAL RENAL CENTER,OGDENSBURG,NY,13669,2,MINERAL METABOLISM,10,-,9,9
WINTHROP UNIV. HOSP AT SUN HARBOR,333543,-,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2,MINERAL METABOLISM,10,-,9,9
SUNY PARKSIDE DIALYSIS CENTER,333544,330350,710 PARKSIDE AVENUE,BROOKLYN,NY,11226,2,MINERAL METABOLISM,10,-,9,9
TRUDE WEISHAUPT MEMORIAL DIALYSIS CENTER,333547,-,@ NEW YORK HOSPITAL OF QUEENS 59-28 174TH STREET,FRESH MEADOWS,NY,11365,2,MINERAL METABOLISM,10,-,9,9
KINGSTON HOSPITAL DIALYSIS CENTER- SATELLITE,333548,330004,37 ALBANY AVENUE,KINGSTON,NY,12401,2,MINERAL METABOLISM,10,-,9,9
FAXTON ST. LUKE'S HEALTHCARE - MASONIC,333552,-,2150 BLEEKER STREET,UTICA,NY,13501,2,MINERAL METABOLISM,10,-,9,9
NOYES CENTER FOR KIDNEY DISEASE AND DIALYSIS,333553,330238,4616 MILLENNIUM DRIVE DIALYSIS UNIT,GENESEO,NY,14454,2,MINERAL METABOLISM,9,-,9,9
ROCHESTER GENERAL HOSPITAL DIALYSIS CENTER,333554,-,370 RIDGE ROAD EAST STE. 10,ROCHESTER,NY,14621,2,MINERAL METABOLISM,8,-,9,9
NASSAU UNIVERSITY MEDICAL CENTER,333555,330027,A. HOLLY PATERSON EXTENDED CARE FACILITY 875 JERUSALEM AVENUE,UNIONDALE,NY,11553,2,MINERAL METABOLISM,9,-,9,9
MONTEFIORE MEDICAL CENTER - WAKEFIELD HOSPITAL,333556,-,600 EAST 233RD STREET HEMODIALYSIS UNIT,BRONX,NY,10466,2,MINERAL METABOLISM,No Score,1,9,9
UNITY HOSPITAL DIALYSIS AT SPENCERPORT,333558,-,4 LAND-RE WAY SUITE 300,SPENCERPORT,NY,14559,2,MINERAL METABOLISM,10,-,9,9
NEW YORK - PRESBYTERIAN HOSPITAL - COLUMBIA,333560,330012,"622 WEST 168TH STREET DIALYSIS - PH 4 CENTER, 430",NEW YORK,NY,10032,2,MINERAL METABOLISM,10,-,9,9
UNITY HOSPITAL OF ROCHESTER - ST. MARY'S,333561,-,89 GENESEE STREET ST. MARY'S CAMPUS DIALYSIS,ROCHESTER,NY,14611,2,MINERAL METABOLISM,10,-,9,9
OISHEI CHILDREN'S HOSPITAL OF BUFFALO,333562,-,HEMODIALYSIS UNIT 818 ELLICOTT STREET,BUFFALO,NY,14203,2,MINERAL METABOLISM,No Score,1,9,9
BASSETT HEALTHCARE LITTLE FALLS DIALYSIS,333563,-,140 BURWELL STREET,LITTLE FALLS,NY,13365,2,MINERAL METABOLISM,1,-,9,9
ADIRONDACK MEDICAL CENTER - DIALYSIS,333564,-,144 WAWBEEK AVENUE,TUPPER LAKE,NY,12986,2,MINERAL METABOLISM,10,-,9,9
KINGSBROOK JEWISH MEDICAL CENTER - RNH DIALYSIS,333565,-,585 SCHENECTADY AVENUE,BROOKLYN,NY,11203,2,MINERAL METABOLISM,7,-,9,9
UNITY DIALYSIS AT CHILI,333566,-,3379 CHILI AVENUE SUITE 300,ROCHESTER,NY,14626,2,MINERAL METABOLISM,9,-,9,9
FAXTON ST LUKE'S HEALTHCARE - HAMILTON,333567,-,"10 EATON STREET, SUITE 102",HAMILTON,NY,13346,2,MINERAL METABOLISM,10,-,9,9
FSLH-ST. LUKE'S HOME RENAL DIALYSIS,333568,-,1650 CHAMPLAIN AVENUE,UTICA,NY,13502,2,MINERAL METABOLISM,10,-,9,9
ROCHESTER GENERAL HOSPITAL - BAY CREEK DIALYSIS CENTER,333569,-,2010 EMPIRE BOULEVARD,WEBSTER,NY,14580,2,MINERAL METABOLISM,10,-,9,9
WFU BAPTIST MEDICAL CENTER DIALYSIS UNIT,342304,340047,8 N HEMODIALYSIS MEDICAL CENTER BLVD,WINSTON SALEM,NC,27157,6,MINERAL METABOLISM,No Score,1,9,9
CAROLINAS MEDICAL CENTER DIALYSIS UNIT,342306,340113,1000 BLYTHE BLVD PEDIATRIC DIALYSIS UNIT,CHARLOTTE,NC,28232,6,MINERAL METABOLISM,No Score,1,9,9
PRESBYTERIAN HOSPITAL,342309,340053,200 HAWTHORNE LANE,CHARLOTTE,NC,28204,6,MINERAL METABOLISM,No Score,1,9,9
WILKES DIALYSIS CENTER,342313,340064,1917 A WEST PARK DRIVE,NORTH WILKESBORO,NC,28659,6,MINERAL METABOLISM,10,-,9,9
GREENVILLE DIALYSIS CENTER,342502,-,510 PALADIN DRIVE,GREENVILLE,NC,27834,6,MINERAL METABOLISM,10,-,9,9
FRESENIUS MEDICAL CARE CHARLOTTE,342503,-,928 BAXTER STREET,CHARLOTTE,NC,28204,6,MINERAL METABOLISM,10,-,9,9
GREENSBORO KIDNEY CENTER,342504,-,2700 HENRY STREET,GREENSBORO,NC,27405,6,MINERAL METABOLISM,10,-,9,9
PIEDMONT DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342505,-,655 COTTON STREET,WINSTON SALEM,NC,27101,6,MINERAL METABOLISM,10,-,9,9
ASHEVILLE KIDNEY CENTER INC,342506,-,1600 CENTREPARK DR,ASHEVILLE,NC,28805,6,MINERAL METABOLISM,10,-,9,9
WILSON DIALYSIS,342507,-,"2833 WOOTEN BLVD., SW",WILSON,NC,27893,6,MINERAL METABOLISM,10,-,9,9
BMA OF LENOIR INC,342509,-,322 MULBERRY STREET SW,LENOIR,NC,28645,6,MINERAL METABOLISM,10,-,9,9
FAYETTEVILLE KIDNEY CENTER,342510,-,2560 LEGION   ROAD,FAYETTEVILLE,NC,28306,6,MINERAL METABOLISM,10,-,9,9
SE DIALYSIS WILMINGTON DAVITA FACILITY,342511,-,2215 YAUPON DRIVE,WILMINGTON,NC,28401,6,MINERAL METABOLISM,10,-,9,9
RALEIGH DIALYSIS CLINIC INC,342512,-,"3943 NEW BERN AVE, SUITE 100",RALEIGH,NC,27610,6,MINERAL METABOLISM,10,-,9,9
FRESENIUS MEDICAL CARE GASTONIA,342513,-,348 BURTONWOOD DR,GASTONIA,NC,28054,6,MINERAL METABOLISM,10,-,9,9
HIGH POINT KIDNEY CENTER OF WAKE FOREST UNIVERSITY,342514,-,1900 WESTCHESTER DRIVE,HIGH POINT,NC,27262,6,MINERAL METABOLISM,10,-,9,9
ELIZABETH CITY DIALYSIS,342515,-,1840 WEST CITY DR,ELIZABETH CITY,NC,27909,6,MINERAL METABOLISM,10,-,9,9
FMC DIALYSIS SERVICES OF HICKORY,342516,-,1899 TATE BLVD STE 1103,HICKORY,NC,28602,6,MINERAL METABOLISM,10,-,9,9
BMA OF ROCKY MOUNT INC,342517,-,750 ENGLISH ROAD,ROCKY MOUNT,NC,27804,6,MINERAL METABOLISM,10,-,9,9
FMC OF KINSTON DIALYSIS UNIT,342518,-,604 AIRPORT ROAD,KINSTON,NC,28504,6,MINERAL METABOLISM,10,-,9,9
FMC DIALYSIS SERVICES NEUSE RIVER,342520,-,625 LEWIS STREET,OXFORD,NC,27565,6,MINERAL METABOLISM,10,-,9,9
SOUTHEASTERN DIALYSIS DAVITA WHITEVILLE,342521,-,608 PECAN LANE,WHITEVILLE,NC,28472,6,MINERAL METABOLISM,10,-,9,9
FMC WAKE DIALYSIS CLINIC,342522,-,3604 BUSH STREET,RALEIGH,NC,27609,6,MINERAL METABOLISM,10,-,9,9
SOUTH CHARLOTTE DIALYSIS,342523,-,6450 BANNINGTON ROAD,CHARLOTTE,NC,28226,6,MINERAL METABOLISM,10,-,9,9
BMA OF ASHEBORO,342524,-,187 BROWERS CHAPEL RD.,ASHEBORO,NC,27205,6,MINERAL METABOLISM,8,-,9,9
METROLINA KIDNEY CENTER MONROE,342525,-,1338 EAST SUNSET DRIVE,MONROE,NC,28112,6,MINERAL METABOLISM,10,-,9,9
UNION COUNTY DIALYSIS,342526,-,615 COMFORT LANE,MONROE,NC,28112,6,MINERAL METABOLISM,10,-,9,9
STATESVILLE DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342527,-,627 SIGNAL HILL DRIVE EXT,STATESVILLE,NC,28625,6,MINERAL METABOLISM,10,-,9,9
FMC LUMBERTON DIALYSIS UNIT,342528,-,720 WESLEY PINES ROAD,LUMBERTON,NC,28358,6,MINERAL METABOLISM,10,-,9,9
DCI SHELBY INC,342529,-,1016 N LAFAYETTE STREET,SHELBY,NC,28150,6,MINERAL METABOLISM,10,-,9,9
GOLDSBORO DIALYSIS,342531,-,2609 HOSPITAL ROAD,GOLDSBORO,NC,27534,6,MINERAL METABOLISM,10,-,9,9
TOTAL RENAL CARE OF NORTH CAROLINA LLC,342532,-,14 OFFICE PARK DRIVE,JACKSONVILLE,NC,28546,6,MINERAL METABOLISM,10,-,9,9
BMA OF BURLINGTON INC,342533,-,3325 GARDEN ROAD,BURLINGTON,NC,27215,6,MINERAL METABOLISM,9,-,9,9
NEW BERN DIALYSIS,342534,-,2113 NEUSE BLVD,NEW BERN,NC,28560,6,MINERAL METABOLISM,10,-,9,9
SOUTHEASTERN DIALYSIS KENANSVILLE,342535,-,305 BEASLEY STREET,KENANSVILLE,NC,28349,6,MINERAL METABOLISM,10,-,9,9
DIALYSIS CARE OF ROCKINGHAM COUNTY INC,342536,-,251 W KINGS HWY,EDEN,NC,27288,6,MINERAL METABOLISM,10,-,9,9
BMA OF SOUTH GREENSBORO INC,342537,-,622 INDUSTRIAL AVENUE,GREENSBORO,NC,27406,6,MINERAL METABOLISM,10,-,9,9
FREEDOM LAKE DIALYSIS CENTER,342538,-,4016 FREEDOM LAKE DRIVE,DURHAM,NC,27704,6,MINERAL METABOLISM,10,-,9,9
DIALYSIS CARE OF RICHMOND COUNTY INC,342539,-,771 CHERAW ROAD,HAMLET,NC,28345,6,MINERAL METABOLISM,10,-,9,9
FMCNA LAURINBURG DIALYSIS CENTER,342540,-,701 E LAUCHWOOD DRIVE,LAURINBURG,NC,28352,6,MINERAL METABOLISM,10,-,9,9
EDENTON DIALYSIS,342541,-,312 MEDICAL ARTS DR,EDENTON,NC,27932,6,MINERAL METABOLISM,10,-,9,9
BMA OF ROANOKE RAPIDS INC,342542,-,260 SMITH CHURCH ROAD,ROANOKE RAPIDS,NC,27870,6,MINERAL METABOLISM,10,-,9,9
VANCE COUNTY DIALYSIS,342543,-,854 S BECKFORD DR,HENDERSON,NC,27536,6,MINERAL METABOLISM,9,-,9,9
CARY KIDNEY CENTER,342544,-,5045 OLD RALEIGH ROAD,CARY,NC,27511,6,MINERAL METABOLISM,10,-,9,9
FMC FOUR OAKS,342545,-,5815 HWY 301 SOUTH,FOUR OAKS,NC,27524,6,MINERAL METABOLISM,9,-,9,9
DIALYSIS CARE OF ROWAN COUNTY INC,342546,-,111 DORSETT DRIVE,SALISBURY,NC,28144,6,MINERAL METABOLISM,10,-,9,9
BMA OF WINDSOR INC,342547,-,1421 B SOUTH KING STREET,WINDSOR,NC,27983,6,MINERAL METABOLISM,10,-,9,9
CHARLOTTE DIALYSIS,342548,-,2321 W  MOREHEAD STREET,CHARLOTTE,NC,28208,6,MINERAL METABOLISM,10,-,9,9
FMC OF NORTH CHARLOTTE,342549,-,5220 N TRYON STREET,CHARLOTTE,NC,28213,6,MINERAL METABOLISM,10,-,9,9
DURHAM DIALYSIS,342550,-,201 HOOD STREET,DURHAM,NC,27701,6,MINERAL METABOLISM,10,-,9,9
FMCNA - YUKON JV,372544,-,1320 W VANDAMENT AVE,YUKON,OK,73099,13,MINERAL METABOLISM,10,-,9,9
MOUNT AIRY DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342551,-,1280 NEWSOME STREET,MOUNT AIRY,NC,27030,6,MINERAL METABOLISM,10,-,9,9
DSI CHARLOTTE LATROBE DIALYSIS,342552,-,3515 LATROBE DRIVE,CHARLOTTE,NC,28211,6,MINERAL METABOLISM,9,-,9,9
LEXINGTON DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342553,-,233 ANNA LEWIS DRIVE,LEXINGTON,NC,27292,6,MINERAL METABOLISM,10,-,9,9
METROLINA KIDNEY CENTER WEST CHARLOTTE,342554,-,3057 FREEDOM DRIVE,CHARLOTTE,NC,28208,6,MINERAL METABOLISM,10,-,9,9
DIALYSIS CARE OF MOORE COUNTY INC,342555,-,16 REGIONAL DRIVE,PINEHURST,NC,28374,6,MINERAL METABOLISM,9,-,9,9
SYLVA DIALYSIS CENTER,342556,-,655 ASHEVILLE HIGHWAY,SYLVA,NC,28779,6,MINERAL METABOLISM,6,-,9,9
DUNN KIDNEY CENTER INC,342557,-,605 TILGHMAN DRIVE,DUNN,NC,28334,6,MINERAL METABOLISM,10,-,9,9
SOUTHEASTERN DIALYSIS BURGAW,342558,-,704 SOUTH DICKERSON STREET,BURGAW,NC,28425,6,MINERAL METABOLISM,9,-,9,9
BMA OF CLINTON INC,342559,-,1740 SOUTHEAST BLVD,CLINTON,NC,28328,6,MINERAL METABOLISM,10,-,9,9
DIALYSIS CARE OF ANSON COUNTY,342560,-,923 E CASWELL ST,WADESBORO,NC,28170,6,MINERAL METABOLISM,9,-,9,9
BMA OF PAMLICO,342561,-,1983 WEST FIFTH STREET,WASHINGTON,NC,27889,6,MINERAL METABOLISM,10,-,9,9
ROXBORO DIALYSIS,342562,-,1005 RIDGE ROAD,ROXBORO,NC,27573,6,MINERAL METABOLISM,10,-,9,9
BMA OF BURKE COUNTY INC,342563,-,814 WEST UNION ST,MORGANTON,NC,28655,6,MINERAL METABOLISM,10,-,9,9
HENDERSONVILLE DIALYSIS CENTER,342564,-,1250 7TH AVE EAST,HENDERSONVILLE,NC,28792,6,MINERAL METABOLISM,10,-,9,9
BMA ALBEMARLE,342565,-,203 NORTHEAST CONNECTOR,ALBEMARLE,NC,28001,6,MINERAL METABOLISM,10,-,9,9
DAVITA DIALYSIS OF RUTHERFORD COUNTY INC,342566,-,226 COMMERCIAL DRIVE,FOREST CITY,NC,28043,6,MINERAL METABOLISM,9,-,9,9
BURLINGTON REGIONAL DIALYSIS,342567,-,873 HEATHER ROAD,BURLINGTON,NC,27215,6,MINERAL METABOLISM,10,-,9,9
FMC LINCOLNTON DIALYSIS,342568,-,1090 S GROVE STREET EXT,LINCOLNTON,NC,28092,6,MINERAL METABOLISM,10,-,9,9
SALEM KIDNEY CENTER OF WAKE FOREST UNIVERSITY,342569,-,2705 BOULDER PARK COURT,WINSTON SALEM,NC,27101,6,MINERAL METABOLISM,10,-,9,9
AHOSKIE DIALYSIS,342570,-,129 HERTFORD COUNTY HIGH RD,AHOSKIE,NC,27910,6,MINERAL METABOLISM,9,-,9,9
DIALYSIS CARE OF FRANKLIN COUNTY INC,342571,-,1706 NC HWY 39 NORTH,LOUISBURG,NC,27549,6,MINERAL METABOLISM,10,-,9,9
JOHNSTON DIALYSIS CENTER INC,342572,-,545 EAST MARKET STREET,SMITHFIELD,NC,27577,6,MINERAL METABOLISM,10,-,9,9
MOUNT OLIVE DIALYSIS,342573,-,105 MICHAEL MARTIN ROAD,MOUNT OLIVE,NC,28365,6,MINERAL METABOLISM,9,-,9,9
RAI CARE CENTERS GOLDSBORO,342576,-,2403 WAYNE MEMORIAL DR,GOLDSBORO,NC,27530,6,MINERAL METABOLISM,10,-,9,9
DIALYSIS CARE OF EDGECOMBE COUNTY,342577,-,3206 WESTERN BLVD,TARBORO,NC,27886,6,MINERAL METABOLISM,9,-,9,9
SOUTHEASTERN DIALYSIS ELIZABETHTOWN,342578,-,101 DIALYSIS DRIVE,ELIZABETHTOWN,NC,28337,6,MINERAL METABOLISM,10,-,9,9
DIALYSIS CARE OF HOKE COUNTY INC,342579,-,403 SOUTH MAIN STREET,RAEFORD,NC,28376,6,MINERAL METABOLISM,10,-,9,9
BMA OF BEATTIES FORD INC,342581,-,1534 NORTH HOSKINS ROAD,CHARLOTTE,NC,28216,6,MINERAL METABOLISM,10,-,9,9
SOUTHEASTERN DIALYSIS SHALLOTTE,342582,-,4770 SHALLOTTE AVENUE,SHALLOTTE,NC,28470,6,MINERAL METABOLISM,7,-,9,9
DIALYSIS CARE OF MONTGOMERY COUNTY INC,342583,-,323 WEST MAIN ST,BISCOE,NC,27209,6,MINERAL METABOLISM,10,-,9,9
DIALYSIS CARE OF MARTIN COUNTY INC,342584,-,100 MEDICAL DRIVE,WILLIAMSTON,NC,27892,6,MINERAL METABOLISM,9,-,9,9
FMC DIALYSIS OF CRAVEN COUNTY,342585,-,2113-B NEUSE BLVD,NEW BERN,NC,28560,6,MINERAL METABOLISM,7,-,9,9
FRESENIUS MEDICAL CARE EAST NORTHAMPTON COUNTY,342586,-,121 NORTH CHURCH ST,CONWAY,NC,27820,6,MINERAL METABOLISM,10,-,9,9
GOLDSBORO SOUTH DIALYSIS,342587,-,1704 WAYNE MEMORIAL DRIVE,GOLDSBORO,NC,27530,6,MINERAL METABOLISM,10,-,9,9
BMA OF CRYSTAL COAST INC,342588,-,3332 BRIDGES STREET SUITE 7,MOREHEAD CITY,NC,28557,6,MINERAL METABOLISM,10,-,9,9
BMA OF ZEBULON INC,342589,-,465 STRATFORD DRIVE,ZEBULON,NC,27597,6,MINERAL METABOLISM,9,-,9,9
WEST PETTIGREW DIALYSIS CENTER,342590,-,1507 W PETTIGREW STREET,DURHAM,NC,27705,6,MINERAL METABOLISM,10,-,9,9
DSI GLENWATER DIALYSIS,342591,-,9030 GLENWATER DRIVE,CHARLOTTE,NC,28262,6,MINERAL METABOLISM,10,-,9,9
DIALYSIS OF KANNAPOLIS,342592,-,1607 NORTH MAIN STREET,KANNAPOLIS,NC,28081,6,MINERAL METABOLISM,10,-,9,9
FMC DIALYSIS SERVICES NORTH RAMSEY,342593,-,130 LONGVIEW DRIVE,FAYETTEVILLE,NC,28311,6,MINERAL METABOLISM,9,-,9,9
BMA NATIONS FORD,342594,-,7901 ENGLAND STREET,CHARLOTTE,NC,28273,6,MINERAL METABOLISM,10,-,9,9
BMA KINGS MOUNTAIN,342595,-,604 CANTERBURY RD,KINGS MOUNTAIN,NC,28086,6,MINERAL METABOLISM,10,-,9,9
FMC DIALYSIS SERVICES EAST CAROLINA UNIVERSITY,342596,-,2355 W ARLINGTON BLVD,GREENVILLE,NC,27834,6,MINERAL METABOLISM,10,-,9,9
FRESENIUS MEDICAL CARE CASWELL,342597,-,1702 HWY 86 NORTH,YANCEYVILLE,NC,27379,6,MINERAL METABOLISM,7,-,9,9
DARE COUNTY DIALYSIS,342598,-,115 EXETER STREET,MANTEO,NC,27954,6,MINERAL METABOLISM,10,-,9,9
TRIAD DIALYSIS CENTER,342599,-,4370 REGENCY DRIVE,HIGH POINT,NC,27265,6,MINERAL METABOLISM,10,-,9,9
BMA OF SOUTHWEST GREENSBORO,342600,-,5020 MACKAY ROAD,JAMESTOWN,NC,27282,6,MINERAL METABOLISM,10,-,9,9
FMC DIALYSIS SERVICES SOUTH RAMSEY,342601,-,526 RAMSEY STREET,FAYETTEVILLE,NC,28301,6,MINERAL METABOLISM,10,-,9,9
CHEROKEE DIALYSIS CENTER,342602,-,53 ECHOTA CHURCH ROAD,CHEROKEE,NC,28719,6,MINERAL METABOLISM,10,-,9,9
BMA OF EAST ROCKY MOUNT,342603,-,230 SOUTH FAIRVIEW ROAD,ROCKY MOUNT,NC,27801,6,MINERAL METABOLISM,10,-,9,9
WEAVERVILLE DIALYSIS,342604,-,329 MERRIMON AVENUE,WEAVERVILLE,NC,28787,6,MINERAL METABOLISM,9,-,9,9
BMA EAST CHARLOTTE,342605,-,1334 CENTRAL AVENUE,CHARLOTTE,NC,28205,6,MINERAL METABOLISM,9,-,9,9
LAKE NORMAN DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342606,-,164 PROFESSIONAL PARK DRIVE,MOORESVILLE,NC,28117,6,MINERAL METABOLISM,10,-,9,9
RED SPRINGS DIALYSIS CENTER,342607,-,1000 EAST 4TH AVENUE,RED SPRINGS,NC,28377,6,MINERAL METABOLISM,10,-,9,9
FUQUAY VARINA KIDNEY CENTER,342608,-,916 SOUTH MAIN STREET,FUQUAY VARINA,NC,27526,6,MINERAL METABOLISM,9,-,9,9
FMC VERNON DIALYSIS UNIT,342609,-,3101 WEST NEW BERN ROAD,KINSTON,NC,28504,6,MINERAL METABOLISM,10,-,9,9
FMC DIALYSIS SERVICES OF WARREN HILLS,342610,-,884 US HIGHWAY 158 BUSINESS WEST,WARRENTON,NC,27589,6,MINERAL METABOLISM,10,-,9,9
DIALYSIS CLINIC INC KINGS MOUNTAIN,342611,-,1010 SHELBY ROAD,KINGS MOUNTAIN,NC,28086,6,MINERAL METABOLISM,10,-,9,9
NORTHSIDE DIALYSIS CENTER OF WAKE FOREST UNIVERISITY,342612,-,500 WEST HANES MILL ROAD,WINSTON SALEM,NC,27105,6,MINERAL METABOLISM,9,-,9,9
BMA NORTHWEST GREENSBORO KIDNEY CENTER,342613,-,2837 HORSEPEN CREEK,GREENSBORO,NC,27410,6,MINERAL METABOLISM,10,-,9,9
ELKIN DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342614,-,941 JOHNSON RIDGE RD,ELKIN,NC,28621,6,MINERAL METABOLISM,10,-,9,9
FMC DIALYSIS SERVICES OF BRIGGS AVENUE,342615,-,1209 SOUTH BRIGGS AVENUE,DURHAM,NC,27703,6,MINERAL METABOLISM,10,-,9,9
DURHAM WEST DIALYSIS,342616,-,4307 WESTERN PARK PLACE SUITE 8,DURHAM,NC,27705,6,MINERAL METABOLISM,9,-,9,9
CAROLINA DIALYSIS PITTSBORO,342617,-,480 HILLSBORO STREET SUITE 300,PITTSBORO,NC,27312,6,MINERAL METABOLISM,9,-,9,9
FMC DIALYSIS SERVICES PLYMOUTH,342618,-,734 US HIGHWAY 64 EAST,PLYMOUTH,NC,27962,6,MINERAL METABOLISM,10,-,9,9
HALIFAX COUNTY DIALYSIS CENTER,342619,-,612 MAIN STREET,SCOTLAND NECK,NC,27874,6,MINERAL METABOLISM,10,-,9,9
CAROLINA DIALYSIS SANFORD,342620,-,1922 K M WICKER MEMORIALL DRIVE,SANFORD,NC,27330,6,MINERAL METABOLISM,10,-,9,9
CAROLINA DIALYSIS SILER CITY,342621,-,192 CAMPUS DRIVE,SILER CITY,NC,27344,6,MINERAL METABOLISM,10,-,9,9
CAROLINA DIALYSIS CARRBORO,342622,-,105 RENEE LYNNE COURT,CARRBORO,NC,27510,6,MINERAL METABOLISM,10,-,9,9
FMC DIALYSIS SERVICES OF ROBESON COUNTY,342623,-,704 SOUTH WALNUT STREET,FAIRMONT,NC,28340,6,MINERAL METABOLISM,9,-,9,9
FMC DIALYSIS SERVICES OF JONES COUNTY,342625,-,110 INDUSTRIAL PARK DRIVE,TRENTON,NC,28585,6,MINERAL METABOLISM,9,-,9,9
CHARLOTTE EAST DIALYSIS,342627,-,5627 ALBEMARLE RD,CHARLOTTE,NC,28212,6,MINERAL METABOLISM,10,-,9,9
DAVITA DIALYSIS OF CHADBOURN,342628,-,210 EAST STRAWBERRY BLVD,CHADBOURN,NC,28431,6,MINERAL METABOLISM,10,-,9,9
DAVITA WAYNESVILLE DIALYSIS CENTER,342629,-,11 PARK TERRACE DRIVE,CLYDE,NC,28721,6,MINERAL METABOLISM,10,-,9,9
RAI CARE CENTERS  WARSAW,342630,-,213 W COLLEGE STREET,WARSAW,NC,28398,6,MINERAL METABOLISM,9,-,9,9
COPPERFIELD DIALYSIS,342631,-,1030 VINEHAVEN DR NE,CONCORD,NC,28025,6,MINERAL METABOLISM,10,-,9,9
FRESENIUS MEDICAL CARE OF AYDEN,342632,-,3793 LEE STREET,AYDEN,NC,28513,6,MINERAL METABOLISM,10,-,9,9
KING DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342633,-,140 MOORE ROAD,KING,NC,27021,6,MINERAL METABOLISM,8,-,9,9
FMC OF EAST GREENSBORO,342634,-,3839 BURLINGTON ROAD,GREENSBORO,NC,27405,6,MINERAL METABOLISM,10,-,9,9
FRESENIUS MEDICAL SERVICES OF CATAWBA VALLEY,342635,-,301 10TH STREET NW SUITE C 101,CONOVER,NC,28613,6,MINERAL METABOLISM,10,-,9,9
WEST IREDELL DIALYSIS CENTER,342636,-,115 WESTBROOK LANE,STATESVILLE,NC,28625,6,MINERAL METABOLISM,10,-,9,9
FOREST HILLS DIALYSIS,342637,-,1605 MEDICAL PARK DRIVE WEST,WILSON,NC,27893,6,MINERAL METABOLISM,10,-,9,9
SOUTHERN PINES DIALYSIS CENTER,342638,-,209 WINDSTAR PLACE,SOUTHERN PINES,NC,28387,6,MINERAL METABOLISM,10,-,9,9
THOMASVILLE DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342639,-,10 LAURA LANE,THOMASVILLE,NC,27360,6,MINERAL METABOLISM,10,-,9,9
REIDSVILLE DIALYSIS,342640,-,1307 FREEWAY DRIVE,REIDSVILLE,NC,27320,6,MINERAL METABOLISM,10,-,9,9
ROCKINGHAM KIDNEY CENTER,342641,-,2206 BARNES STREET,REIDSVILLE,NC,27320,6,MINERAL METABOLISM,10,-,9,9
FMCNA SOUTHWEST WAKE DIALYSIS,342642,-,320 GIDEON CREEK WAY,RALEIGH,NC,27603,6,MINERAL METABOLISM,9,-,9,9
FMC OF WEST FAYETTEVILLE,342643,-,6959 NEXUS COURT,FAYETTEVILLE,NC,28304,6,MINERAL METABOLISM,10,-,9,9
FRESENIUS MEDICAL CARE OF SPRING HOPE,342644,-,102 DODD STREET,SPRING HOPE,NC,27882,6,MINERAL METABOLISM,9,-,9,9
MCDOWELL COUNTY DIALYSIS,342645,-,100 SPAULDING ROAD # 2,MARION,NC,28752,6,MINERAL METABOLISM,10,-,9,9
FMC NEW HOPE DIALYSIS,342646,-,835 SOUTH NEW HOPE ROAD,RALEIGH,NC,27610,6,MINERAL METABOLISM,9,-,9,9
FMS DIALYSIS SERVICES OF OXFORD,342647,-,1620 WILLIAMSBORO STREET,OXFORD,NC,27565,6,MINERAL METABOLISM,10,-,9,9
FRESENIUS MEDICAL CARE OF LILLINGTON,342648,-,1605 SOUTH MAIN STREET,LILLINGTON,NC,27546,6,MINERAL METABOLISM,8,-,9,9
SMOKEY MOUNTAIN DIALYSIS DENOVO FACILITY,342649,-,1611 ANDREWS RD,MURPHY,NC,28906,6,MINERAL METABOLISM,10,-,9,9
GREENE COUNTY DIALYSIS CENTER,342650,-,1025 KINGOLD BLVD,SNOW HILL,NC,28580,6,MINERAL METABOLISM,10,-,9,9
MAXTON DIALYSIS CENTER,342651,-,202 E DR.  MARTIN LUTHER KING JR.  DR,MAXTON,NC,28364,6,MINERAL METABOLISM,9,-,9,9
BELMONT DIALYSIS CENTER,342652,-,5010 MEDICAL CARE COURT,BELMONT,NC,28012,6,MINERAL METABOLISM,10,-,9,9
FMS SIX FORKS DIALYSIS CLINIC,342653,-,3411 WEST MILLBROOK RD,RALEIGH,NC,27613,6,MINERAL METABOLISM,9,-,9,9
INDEPENDENT NEPHROLOGY SERVICES HUNTERSVILLE,342654,-,9920 KINCEY AVENUE STE 140,HUNTERSVILLE,NC,28078,6,MINERAL METABOLISM,No Score,1,9,9
INDEPENDENT NEPHROLOGY SERVICES CHARLOTTE,342655,-,8430 UNIVERSITY EXECUTIVE PARK DR STE 690,CHARLOTTE,NC,28262,6,MINERAL METABOLISM,No Score,1,9,9
